INPUT:image	GOLDEN:result	HINT:text
/data-disk/img_243.jpg	2	Строка расположена в начале документа по центру и напечатана жирным шрифтом, поэтому относится к названию документа
/data-disk/img_244.jpg	2	Строка расположена в начале документа по центру и напечатана жирным шрифтом, поэтому относится к названию документа (продолжение названия)
/data-disk/img_245.jpg	2	Строка расположена в начале документа по центру и напечатана жирным шрифтом, поэтому относится к названию документа (продолжение названия)
/data-disk/img_246.jpg	2	Строка расположена в начале документа по центру и напечатана жирным шрифтом, поэтому относится к названию документа (продолжение названия)
/data-disk/img_247.jpg	3	В строке присутствует информация о том, кто принял документ, поэтому строка относится к типу Шапка
/data-disk/img_248.jpg	3	В строке присутствует информация о дате принятия документа, поэтому строка относится к типу Шапка
/data-disk/img_249.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_250.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_251.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_252.jpg	6	Строка начинается с цифры со скобкой, поэтому относится к типу Пункт
/data-disk/img_253.jpg	8	Ссылка на другую статью независимо от оформления относится к типу Текст
/data-disk/img_254.jpg	5	Строка начинается с цифры с точкой, поэтому относится к типу Часть
/data-disk/img_255.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_256.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_257.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_258.jpg	5	Строка начинается с цифры с точкой, поэтому относится к типу Часть

/data-disk/img_303.jpg	2	Строка расположена в начале документа по центру, поэтому относится к названию документа
/data-disk/img_304.jpg	0	Этот элемент не является текстом, поэтому относится к типу Other
/data-disk/img_305.jpg	2	Строка расположена в начале документа по центру и напечатана жирным шрифтом, поэтому относится к названию документа
/data-disk/img_306.jpg	2	Строка расположена в начале документа по центру и напечатана жирным шрифтом, поэтому относится к названию документа (продолжение названия)
/data-disk/img_307.jpg	2	Строка расположена в начале документа по центру, поэтому относится к названию документа (продолжение названия)
/data-disk/img_314.jpg	3	В строке присутствует информация о дате принятия и о том, кто принял документ, поэтому строка относится к типу Шапка
/data-disk/img_315.jpg	4	Строка начинается со слова Статья и содержит номер, поэтому относится к типу Статья
/data-disk/img_316.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_317.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_318.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_319.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_320.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_321.jpg	8	Ссылка на другую статью независимо от оформления относится к типу Текст
/data-disk/img_329.jpg	4	Строка начинается со слова Статья и содержит номер, поэтому относится к типу Статья
/data-disk/img_335.jpg	6	Строка начинается с цифры со скобкой, поэтому относится к типу Пункт
/data-disk/img_336.jpg	7	Строка начинается с буквы со скобкой, поэтому относится к типу Подпункт
/data-disk/img_337.jpg	8	Текст ничем визуально не выделяется, поэтому строка относится к типу Текст
/data-disk/img_338.jpg	1	Текст строки помещён внизу страницы, под чертой, отделяющей его от основного текста, поэтому строка является сноской
/data-disk/img_339.jpg	0	Если не видно выделения или оно расположено по краю - ставим тип Other

/data-disk/img_042.jpg	0	Строка выделена не полностью, поэтому Other
/data-disk/img_064.jpg	0	Строка выделена не полностью, поэтому Other
/data-disk/img_125.jpg	8	Строка начинается с кавычки, поэтому относится к типу Текст
/data-disk/img_138.jpg	0	Выделена нетекстовая область, поэтому Other
/data-disk/img_139.jpg	1	Нумерация страницы относится к колонтитулу
/data-disk/img_196.jpg	8	Строка начинается с кавычки, поэтому относится к типу Текст
/data-disk/img_238.jpg	3	Шапка в конце документа с информацией о том, кто принял документ
/data-disk/img_240.jpg	0	Рукописный текст относится к типу Other
/data-disk/img_302.jpg	3	Шапка в конце документа с номером документа
/data-disk/img_370.jpg	0	Если не видно выделения или оно расположено по краю - ставим тип Other
/data-disk/img_418.jpg	3	Шапка разрывает название документа, присутствует информация о дате принятия и о том, кто принял документ
/data-disk/img_450.jpg	0	Рукописный текст относится к типу Other
/data-disk/img_452.jpg	0	Элемент занимает несколько строк и влючает нетекстовые элементы, поэтому относится к типу Other
/data-disk/img_628.jpg	0	Содержимое таблицы относится к типу Other
